stations,latitude,longitude
pretoria moot,28.21685,-25.71295
pretoria north,28.17400,-25.67133
pretoria west,28.15800,-25.74808
prieska,22.74069,-29.67240
primrose,28.15795,-26.18914
prince albert,22.02828,-33.21944
prince alfred hamlet,19.32863,-33.29353
protea,27.83380,-26.27591
protea glen,27.83896,-26.27697
pudimoe,24.71941,-27.41080
punzana,27.44577,-33.06903
putfontein,28.41908,-26.10332
qhasa,29.69876,-30.99546
queenstown,26.87144,-31.89704
qumbu,28.87266,-31.16497
rabie ridge,28.17065,-26.02060
rakgoadi,29.57372,-24.89174
randburg,27.99700,-26.07650
randfontein,27.70620,-26.18076
rankin's pass,27.91360,-24.52865
ratanda,28.32785,-26.55351
ravensmead,18.59730,-33.92226
rawsonville,19.30908,-33.68464
reddersburg,26.16737,-29.65303
redelinghuys,18.53737,-32.47741
reigerpark,28.22545,-26.22976
reitz,28.43171,-27.79927
reivilo,24.18330,-27.57072
rhodes,27.96674,-30.79379
richards bay,32.05469,-28.74824
richmond(c),23.94401,-31.41508
richmond-kzn,30.26986,-29.87238
riebeeck east,26.15276,-33.20341
riebeek west,18.87270,-33.35093
rietbron,23.15220,-32.90126
rietfontein,20.02940,-26.74269
rietgat,28.09001,-25.49786
rietvlei,30.34741,-29.17992
ritavi,30.28361,-23.88811
riversdale,21.26123,-34.09338
riviersonderend,19.92037,-34.15086
roadside,28.84930,-27.51842
robertson,19.87543,-33.80517
roedtan,29.08164,-24.59628
rondebosch,18.46833,-33.96262
roodepan,24.73012,-28.67237
roodepoort,27.87350,-26.15501
rooiberg,27.73079,-24.77912
roossenekal,29.92706,-25.19819
rosebank,28.03842,-26.14538
rosedale,21.20795,-28.45420
rosendal,27.93020,-28.50406
rossouw,27.27997,-31.16777
rouxville,26.83419,-30.42054
rust de winter,28.60761,-25.20296
rustenburg,27.24845,-25.66821
saamboubrug,28.58481,-22.56206
sabie,30.78207,-25.09528
sakhile,29.22101,-26.96305
saldanha,17.93958,-33.00962
samora machel,31.95297,-25.91593
sandringham,28.11834,-26.13648
sandton,28.06150,-26.08026
sannieshof,25.80644,-26.52925
saron,18.99944,-33.18409
saselamani,30.85767,-22.83111
sasolburg,27.82882,-26.81351
sawoti,30.49026,-30.27408
scenery park,27.79208,-32.99282
schoemansdal,31.49894,-25.68235
schweizer-reneke,25.33134,-27.18943
scottburgh,30.75576,-30.28763
sea point,18.39946,-33.90553
seafield,27.04722,-33.53064
sebayeng,29.69293,-23.78133
sebenza,28.18190,-26.13250
sebokeng,27.84813,-26.60924
secunda,29.18622,-26.50187
sekgosese,30.15034,-23.41238
sekhukhune,30.01560,-24.75217
selosesha,26.81939,-29.19424
senekal,27.62260,-28.32120
senwabarwana,29.13931,-23.28572
seshego,29.38227,-23.85429
setlagole,25.11376,-26.27157
seven fountains,26.32610,-33.44057
severn,22.85903,-26.58681
seymour,26.76792,-32.55177
sharpeville,27.87801,-26.68133
sheepmoor,30.29458,-26.71503
siloam,30.18623,-22.89731
silverton,28.29632,-25.73355
simon's town,18.43659,-34.19313
sinoville,28.22617,-25.67601
siyabuswa,29.05024,-25.11259
skukuza,31.59017,-24.99523
smithfield,26.53167,-30.20976
somerset east,25.59114,-32.71820
somerset west,18.84466,-34.07682
sophia town,27.97173,-26.17733
soshanguve,28.11260,-25.52870
southport,30.50909,-30.66458
soutpan,26.06093,-28.72135
springbok,17.88498,-29.66587
springfontein,25.70502,-30.26625
springs,28.44266,-26.24489
st faiths,30.20243,-30.52934
st francis bay,24.82673,-34.16691
st helena bay,18.02407,-32.75816
standerton,29.24147,-26.94646
stanford,19.45789,-34.43881
steenberg,18.47621,-34.06542
steinkopf,17.73565,-29.26636
stella,24.86213,-26.54945
stellenbosch,18.85592,-33.93575
sterkspruit,27.37134,-30.52837
sterkstroom,26.55598,-31.55052
steunmekaar,25.52628,-29.49944
steve vukile tshwete,27.46567,-32.72903
steynsburg,25.82328,-31.29284
steynsrus,27.56381,-27.95346
steytlerville,24.34185,-33.32752
stilfontein,26.77730,-26.84451
still bay,21.41184,-34.37743
storms river,23.88890,-33.97407
strand,18.83286,-34.11592
strandfontein,18.57684,-34.07212
struisbaai,20.05088,-34.80059
strydenburg,23.67684,-29.94306
stutterheim,27.42741,-32.57118
sulenkama,28.68437,-31.01688
sun city,27.09869,-25.36291
sundra,28.55062,-26.18637
sundumbili,31.40266,-29.13495
sunnyside,28.20770,-25.75444
sunrise,24.02046,-30.64993
sutherland,20.66037,-32.39583
suurbraak,20.65400,-34.00460
swartberg,29.33874,-30.24156
swartkops,25.60443,-33.85136
swartruggens,26.68895,-25.64890
swellendam,20.44455,-34.02047
sydenham,30.97629,-29.83128
tabase,28.31933,-30.52585
table bay harbour,18.42454,-33.91001
table view,18.48930,-33.82635
tamara,27.28339,-32.97844
tarkastad,26.25755,-32.00705
tarlton,27.66759,-26.09221
taung,24.77898,-27.54507
taylors halt,30.19095,-29.68305
temba,28.26037,-25.38881
tembisa,28.22014,-26.00749
tembisa south,28.20888,-26.02598
thaba-nchu,26.84379,-29.21120
thabazimbi,27.40775,-24.59703
thabong,26.78051,-27.97483
the barrage,27.67950,-26.76453
thembalethu,22.48547,-34.00341
theunissen,26.71208,-28.40042
thina falls,29.01631,-31.21890
thohoyandou,30.45594,-22.97234
thomas river,27.25308,-32.45155
thornhill,25.14084,-33.90226
thornhill ciskei,26.60890,-31.98433
thornville,30.38723,-29.73621
tierpoort,26.09008,-29.44394
tinmyne,28.77543,-24.03597
tlhabane,27.21433,-25.64737
tokoza,28.14338,-26.32987
tolwe,28.57513,-22.98531
tom burke,27.99936,-23.06880
tonga,31.78474,-25.68830
tongaat,31.11518,-29.57310
touws river,20.03179,-33.33927
town hill,30.35122,-29.58544
trichardt,29.22408,-26.49360
trompsburg,25.78074,-30.03372
tsakane,28.36975,-26.35194
tseki,28.77262,-28.58429
tseseng,28.85396,-28.62038
tshamutumbu,30.54586,-22.38491
tshaulu,30.74773,-22.80382
tshidilamolomo,24.67348,-25.82608
tshilwavhusiku,29.74204,-23.09599
tshitale,29.98902,-23.35999
tsineng,23.07619,-27.08513
tsolo,28.75858,-31.31138
tsomo,27.81802,-32.03707
tubatse,30.32297,-24.58143
tuinplaas,28.73605,-24.90246
tulbagh,19.14052,-33.28503
tumahole,27.48537,-26.92008
tweefontein,28.80638,-25.40626
tweeling,28.51549,-27.55440
tweespruit,27.02513,-29.18634
tyefu,26.90461,-33.12668
tylden,27.07060,-32.11508
tzaneen,30.16194,-23.82788
ugie,28.23490,-31.19953
uitenhage,25.40085,-33.76565
ulundi,31.42827,-28.29590
umbilo,30.99136,-29.87218
umbumbulu,30.70896,-29.99128
umhlali,31.21969,-29.46864
umkomaas,30.79157,-30.20719
umlazi,30.92848,-29.96252
umsunduzi,30.63848,-29.66440
umzimkhulu,29.93638,-30.26423
umzinto,30.67228,-30.30925
uniondale,23.12582,-33.65730
upington,21.25989,-28.45019
upper tugela,29.15404,-28.81018
utrecht,30.31941,-27.65619
vaal marina,28.23124,-26.87308
vaalbank,28.85709,-25.15941
vaalwater,28.11371,-24.29360
val,28.94027,-26.79825
van reenen,29.38561,-28.37872
van stadensrus,27.01634,-29.98740
van zylsrus,22.05007,-26.87679
vanderbijlpark,27.83306,-26.69897
vanderkloof,24.74164,-29.99861
vanrhynsdorp,18.74001,-31.60830
vanwyksvlei,21.82435,-30.35067
ventersburg,27.13605,-28.08577
ventersdorp,26.82122,-26.31736
venterstad,25.80117,-30.77378
vereeniging,27.92999,-26.67931
verena,29.02751,-25.48245
verkeerdevlei,26.77901,-28.83224
verkykerskop,29.28102,-27.91964
verulam,31.04136,-29.64474
vhulaudzi,30.19282,-22.96156
victoria west,23.11399,-31.40416
vierfontein,26.75187,-27.08004
viljoensdrif,27.92026,-26.72698
viljoenskroon,26.94658,-27.20688
villa nora,28.12587,-23.52831
villieria,28.24544,-25.71820
villiers,28.59953,-27.02611
villiersdorp,19.28734,-33.99243
vioolsdrif,17.62354,-28.76911
virginia,26.87201,-28.10392
volksrust,29.88684,-27.37400
vorstershoop,23.02448,-25.83738
vosburg,22.88140,-30.57359
vosloorus,28.21100,-26.34230
vosman,29.12743,-25.86707
vrede,29.16897,-27.42321
vredefort,27.36753,-27.00656
vredenburg,18.00228,-32.90673
vredendal,18.51031,-31.66088
vryburg,24.72628,-26.95942
vryheid,30.79561,-27.76738
vulindlela,27.71242,-32.92197
vuwani,30.42080,-23.12982
wakkerstroom,30.14840,-27.35712
walmer,25.58483,-33.97903
wanda,24.43268,-29.60004
warden,28.96409,-27.85385
warrenton,24.84885,-28.11489
wartburg,30.57680,-29.43370
wasbank,30.10001,-28.31341
waterpoort,29.62656,-22.90039
waterval,30.07076,-23.16397
waterval boven,30.32545,-25.64433
wedela,27.38300,-26.45670
weenen,30.08461,-28.85307
welbekend,28.46994,-25.96476
welkom,26.73691,-27.97365
wellington,19.00515,-33.64022
wembezi,29.78917,-29.04502
wentworth,30.98088,-29.94177
wepener,27.03700,-29.73115
wesselsbron,26.36327,-27.85679
westenburg,29.43012,-23.90444
westonaria,27.65058,-26.32300
westville,30.93246,-29.82968
whittlesea,26.82443,-32.17097
wierdabrug,28.15524,-25.82374
williston,20.91551,-31.34280
willowmore,23.48728,-33.29543
willowvale,28.50661,-32.26700
winburg,27.00960,-28.52163
windsorton,24.71082,-28.32664
winterton,29.54016,-28.81443
witbank,29.23129,-25.88794
witdraai,20.70580,-26.95574
witpoort,28.00687,-23.33168
witrivier,31.01790,-25.32830
wolmaransstad,25.98018,-27.20175
wolseley,19.20104,-33.41440
wolwefontein,24.82834,-33.29291
wonderboompoort,28.18587,-25.70428
woodstock,18.44814,-33.92897
worcester,19.44373,-33.64546
wrenchville,23.46428,-27.45275
wynberg,18.46505,-34.00399
yeoville,28.06281,-26.18290
zaaiplaas,29.75124,-25.16611
zamdela,27.85671,-26.84416
zamuxolo,28.26695,-30.59053
zastron,27.08167,-30.30455
zebediela,29.24406,-24.29829
zeerust,26.07897,-25.53974
zele,27.37591,-32.77056
zonkizizwe,28.17933,-26.40597
zwelitsha,27.42121,-32.91425
